"original_park","matched_park","similarity"
"tottenville pool","tottenville pool",1
"travers park","travers park",1
"tremont park","claremont park",0.900793650793651
"trinity park","trinity park",1
"tucker place","tucker place",1
"tudor park","tudor park",1
"udall's park preserve","udall's park preserve",1
"umoja learning garden","umoja garden",0.801587301587302
"underhill playground","gun hill playground",0.875696594427244
"underwood park","underwood park",1
"union square park","union square park",1
"university woods","university woods",1
"utopia parkway and 77th road",NA,NA
"valentine varian house","valentine varian house",1
"van cortlandt park","van cortlandt park",1
"van dyke playground","van dyke playground",1
"van nest park","van nest park",1
"van voorhees park","van voorhees playground",0.878942881500426
"vidalia park","vidalia park",1
"von briesen park","von briesen park",1
"wagner playground","wagner playground",1
"walker park","walker park",1
"walt whitman park","walt whitman park",1
"walter gladwin park","walter gladwin park",1
"walton park","walton park",1
"washingtom square park","washington square park",0.96969696969697
"washington market park","washington market park",1
"washington park","washington park",1
"washington square park","washington square park",1
"watson gleason playground","watson gleason playground",1
"weeping beech park","wegener park",0.781986531986532
"wegener park","wegener park",1
"west harlem piers","west harlem piers",1
"westbourne playground","westbourne playground",1
"westerleigh park","westerleigh park",1
"westwood park","westwood park",1
"wild bird fund",NA,NA
"william mccray playground","william mccray playground",1
"william t davis wildlife refuge",NA,NA
"william t. davis wildlife refuge",NA,NA
"williamsbridge oval","williamsbridge oval",1
"williamsbridge oval recreation center","williamsbridge oval",0.837837837837838
"williamsbridge square","williamsbridge oval",0.868003341687552
"willow lake playground","willow lake playground",1
"willowbrook park","willowbrook park",1
"windmuller park","lindower park",0.87991452991453
"wnyc transmitter park","wnyc transmitter park",1
"wolfe's pond park","wolfe's pond park",1
"wood park","wood park",1
"woodlawn cemetery",NA,NA
"woodrow wilson triangle","woodrow wilson triangle",1
"wright brothers playground","wright brothers playground",1
"yellowstone park","yellowstone park",1
"young park","young park",1
"youth village","youth village",1
