original_park,matched_park,similarity,final_match
laguardia landing lights,laguardia landing lights,1,laguardia landing lights
laredo avenue parcel,laredo avenue parcel,1,laredo avenue parcel
latourette park,latourette park & golf course,0.83908046,latourette park & golf course
latourette park & golf course,latourette park & golf course,1,latourette park & golf course
lawrence virgilio playground,lawrence virgilio playground,1,lawrence virgilio playground
lefferts blvd and jamaica ave,NA,NA,forest park
leif ericson park,leif ericson park,1,leif ericson park
lemon creek park,lemon creek park,1,lemon creek park
levy park,alley park,0.896296296,asser levy park
lew fiddler park,bell tower park,0.794444444,marine park
lew fidler park,bell tower park,0.811111111,marine park
lincoln terrace / arthur s. somers park,lincoln terrace / arthur s. somers park,1,lincoln terrace / arthur s. somers park
lincoln terrace park,richmond terrace park,0.857096172,lincoln terrace / arthur s. somers park
linden park,linden park,1,linden park
linnaeus park,linnaeus park,1,linnaeus park
little bay park,little bay park,1,little bay park
livonia park,livonia park,1,livonia park
locust manor playground,locust manor playground,1,locust manor playground
long island mews,long island mews,1,long island mews
loreto playground,loreto playground,1,loreto playground
louis armstrong playground,louis armstrong playground,1,louis armstrong playground
lt. federico narvaez tot lot,lt. federico narvaez tot lot,1,lt. federico narvaez tot lot
lt. frank mcconnell park,lt. frank mcconnell park,1,lt. frank mcconnell park
lyons pool,lyons pool,1,lyons pool
lyons pool recreation center,tony dapolito recreation center,0.794221907,lyons pool
macdonald park,macdonald park,1,macdonald park
macneil park,marconi park,0.888888889,hermon a. macneil park
macombs dam park,macombs dam park,1,macombs dam park
madison square park,madison square park,1,madison square park
mafera park,mafera park,1,mafera park
magenta playground,magenta playground,1,magenta playground
mall forty,mall forty two xlii,0.842105263,mall forty two xlii
manhattan beach,manhattan beach park,0.916666667,manhattan beach park
manhattan beach park,manhattan beach park,1,manhattan beach park
mannahatta park,manhattan beach park,0.838888889,na
mapes pool,mapes pool,1,mapes pool
marble hill playground,marble hill playground,1,marble hill playground
marco giovanelli playground,lawrence virgilio playground,0.811177249,forest park
marconi park,marconi park,1,marconi park
marcus garvey park,marcus garvey park,1,marcus garvey park
marcy playground,marcy playground,1,marcy playground
maria hernandez park,maria hernandez park,1,maria hernandez park
marie curie park,marie curie playground,0.873106061,marie curie playground
marine park,marine park,1,marine park
marion hopkinson playground,marion hopkinson playground,1,marion hopkinson playground
martin luther king jr. park,martin luther king jr. playground,0.91694725,"martin luther king, jr. playground"
mary o'connor playground,mary o'connor playground,1,mary o'connor playground
matthews muliner playground,matthews muliner playground,1,matthews muliner playground
mccarren park,mccarren park,1,mccarren park
mcgolrick park,mill rock park,0.821428571,msgr. mcgolrick park
mckinley park,mckinley park,1,mckinley park
mellet playground,mellett playground,0.981481481,mellett playground
melrose commons park,melrose commons park,1,melrose commons park
mercer playground,mercer playground,1,mercer playground
merriam playground,merriam playground,1,merriam playground
midland beach,midland field,0.794871795,midland field
midland field,midland field,1,midland field
midland playground,midland playground,1,midland playground
mill pond park,mill pond park,1,mill pond park
mitchel square,mitchel square,1,mitchel square
mobilization for change community garden,mobilization for change,0.858333333,mobilization for change
montbellier park,montbellier park,1,montbellier park
morningside park,morningside park,1,morningside park
mosholu parkway,mosholu parkway,1,mosholu parkway
mosholu playground,mosholu playground,1,mosholu playground
motor parkway,motor parkway,1,motor parkway
mount prospect park,mount prospect park,1,mount prospect park
msgr. mcgolrick park,msgr. mcgolrick park,1,msgr. mcgolrick park
mullaly park,alley park,0.846296296,macombs dam park
murray playground,murray playground,1,murray playground
n/a,NA,NA,na
naples playground,naples playground,1,naples playground
near roebling playground,daniel boone playground,0.842046239,roebling playground
nelson playground,nelson playground,1,nelson playground
new dorp lane and new dorp plaza,NA,NA,na
new dorp park,new dorp park,1,new dorp park
norelli-hargreaves playground,norelli-hargreaves playground,1,norelli-hargreaves playground
ny botanical garden,6bc botanical garden,0.865892673,bronx park
nyc parking garage,NA,NA,na
o'sullivan plaza,o'sullivan plaza,1,o'sullivan plaza
oak grove park,frank golden park,0.826563959,sixteen oaks grove
oakland gardens,oakland gardens,1,oakland gardens
oakland gardens playground,oakland gardens,0.858974359,oakland gardens
oakland lake,oakland gardens,0.833333333,oakland gardens
oakwood beach,NA,NA,great kills park
ocean breeze park,ocean breeze park,1,ocean breeze park
ocean breeze track & field athletic complex,ocean breeze park,0.750256498,ocean breeze park
old town playground,old town playground,1,old town playground
olmsted-beil house park,olmsted-beil house park,1,olmsted-beil house park
orchard beach,NA,NA,pelham bay park
othmar ammann playground,chiarantano playground,0.847474747,triboro plaza
outside of prospect park on private property,NA,NA,prospect park
owl hollow fields,NA,NA,freshkills park
owl's head park,owl's head park,1,owl's head park
owls head park,owl's head park,0.977777778,owl's head park
p.o. serrano playground,p.o. serrano playground,1,p.o. serrano playground
p.s.117 playground,p.s. 125 playground,0.889498051,poor richard's playground
paerdegat park,paerdegat park,1,paerdegat park
palmer inlet,palmer inlet,1,palmer inlet
parade ground,parade ground,1,parade ground
parade place,padre plaza,0.797474747,parade ground
park avenue green space,park avenue malls,0.786932164,na
park avenue malls,park avenue malls,1,park avenue malls
park of the americas,park of the americas,1,park of the americas
park slope playground,park slope playground,1,park slope playground
parks street tree,NA,NA,na
parque de los ninos baseball field,NA,NA,bronx river parkway
paul raimonda playground,paul raimonda playground,1,paul raimonda playground
payson playground,davidson playground,0.890608875,inwood hill park
pelham bay park,pelham bay park,1,pelham bay park
pelham parkway,pelham parkway,1,pelham parkway
pena herrera park,pena herrera playground,0.878942882,pena herrera playground
peter detmold park,peter detmold park,1,peter detmold park
peters field,peters field,1,peters field
"phil ""scooter"" rizzuto park","phil ""scooter"" rizzuto park",1,"phil ""scooter"" rizzuto park"
pier 11,pier 42,0.80952381,na
